code;name;in_stock_balance;created_at;is_weight
6245;ГОСТ 8732 273х56 ст45;0.298;2026-01-01;FALSE
6252;ГОСТ 8732 299х36 ст09Г2С;0.49;2026-01-01;FALSE
6256;ГОСТ 8732 299х10 ст20;1.03;2026-01-01;FALSE
6260;ГОСТ 8732 299х14 ст20;0.74;2026-01-01;FALSE
6262;ГОСТ 8732 299х16 ст20;0.17;2026-01-01;FALSE
6263;ГОСТ 8732 299х18 ст20;4.097;2026-01-01;FALSE
6267;ГОСТ 8732 299х25 ст20;0.031;2026-01-01;FALSE
6273;ГОСТ 8732 299х40 ст20;0;2026-01-01;FALSE
6298;ГОСТ 8732 325х 7 ст20;0.05;2026-01-01;FALSE
6303;ГОСТ 8732 325х10 ст20;1.538;2026-01-01;FALSE
6316;ГОСТ 8732 325х25 ст20;0;2026-01-01;FALSE
6337;ГОСТ 8732 325х20 ст35;0.1;2026-01-01;FALSE
6345;ГОСТ 8732 325х36 ст45;1.269;2026-01-01;FALSE
6348;ГОСТ 8732 325х45 ст45;0.34;2026-01-01;FALSE
6357;ГОСТ 8732 351х12 ст20;0.19;2026-01-01;FALSE
6358;ГОСТ 8732 351х14 ст20;0.2;2026-01-01;FALSE
6380;ГОСТ 8732 351х30 ст45;1.672;2026-01-01;FALSE
6387;ГОСТ 8732 377х10 ст20;0;2026-01-01;FALSE
6389;ГОСТ 8732 377х12 ст20;0.409;2026-01-01;FALSE
6393;ГОСТ 8732 377х16 ст20;0.11;2026-01-01;FALSE
6395;ГОСТ 8732 377х18 ст20;2.005;2026-01-01;FALSE
6397;ГОСТ 8732 377х20 ст20;0;2026-01-01;FALSE
6401;ГОСТ 8732 377х25 ст20;1.296;2026-01-01;FALSE
6425;ГОСТ 8732 377х36 ст45;7.087;2026-01-01;FALSE
6432;ГОСТ 8732 114х 5 ст10;0.13;2026-01-01;FALSE
6439;ГОСТ 8732 114х 4.5 ст20;0.035;2026-01-01;FALSE
6451;ГОСТ 8732 114х10 ст20;0.08;2026-01-01;FALSE
6457;ГОСТ 8732 114х16 ст20;0.22;2026-03-20;FALSE
6471;ГОСТ 8732 114х16 ст35;0.035;2026-01-01;FALSE
6477;ГОСТ 8732 114х28 ст45;1.917;2026-01-01;FALSE
6537;ГОСТ 8732 102х 4 ст20;0;2026-01-01;FALSE
6560;ГОСТ 8732 102х22 ст20;0.231;2026-01-01;FALSE
6567;ГОСТ 8732 102х18 ст35;0.542;2026-01-01;FALSE
6569;ГОСТ 8732 102х24 ст35;0;2026-01-01;FALSE
6572;ГОСТ 8732 102х24 ст45;0.05;2026-01-01;FALSE
6587;ГОСТ 8732 95х 8 ст20;0.265;2026-01-01;FALSE
6612;ГОСТ 8732 95х11 ст35;2.765;2026-01-01;FALSE
6626;ГОСТ 8732 89х 3.5 ст10;0.262;2026-01-01;FALSE
6630;ГОСТ 8732 89х 6.5 ст17Г1С;0.06;2026-01-01;FALSE
6633;ГОСТ 8732 89х 3.5 ст20;0.312;2026-01-01;FALSE
6641;ГОСТ 8732 89х 7 ст20;0;2026-01-01;FALSE
6647;ГОСТ 8732 89х10 ст20;1.069;2026-01-01;FALSE
6648;ГОСТ 8732 89х11 ст20;0.478;2026-01-01;FALSE
6654;ГОСТ 8732 89х16 ст20;0.11;2026-04-01;FALSE
6656;ГОСТ 8732 89х18 ст20;0.08;2026-01-01;FALSE
6664;ГОСТ 8732 89х 6 ст35;1.328;2026-01-01;FALSE
6669;ГОСТ 8732 89х18 ст35;0.489;2026-01-01;FALSE
6679;ГОСТ 8732 89х22 ст45;0.02;2026-01-01;FALSE
6718;ГОСТ 8732 83х16 ст35;0.18;2026-01-01;FALSE
6726;ГОСТ 8732 76х 3.5 ст10;0.2;2026-01-01;FALSE
6727;ГОСТ 8732 76х 4 ст10;0.106;2026-01-01;FALSE
6728;ГОСТ 8732 76х 4.5 ст10;0.04;2026-01-01;FALSE
6735;ГОСТ 8732 76х 4 ст20;0.006;2026-01-01;FALSE
6738;ГОСТ 8732 76х 5 ст20;0.02;2026-01-01;FALSE
6746;ГОСТ 8732 76х10 ст20;0.028;2026-01-01;FALSE
6751;ГОСТ 8732 76х14 ст20;0.191;2026-01-01;FALSE
6754;ГОСТ 8732 76х16 ст20;0.26;2026-01-01;FALSE
6771;ГОСТ 8732 73х 4 ст10;0;2026-01-01;FALSE
6772;ГОСТ 8732 73х 6 ст10;0.03;2026-01-01;FALSE
6776;ГОСТ 8732 73х 4.5 ст20;0.47;2026-01-01;FALSE
6777;ГОСТ 8732 73х 5 ст20;1.15;2026-01-01;FALSE
6778;ГОСТ 8732 73х 5.5 ст20;0.85;2026-01-01;FALSE
6781;ГОСТ 8732 73х 8 ст20;0.676;2026-01-01;FALSE
6789;ГОСТ 8732 73х14 ст20;0;2026-02-27;FALSE
6790;ГОСТ 8732 73х15 ст20;0.05;2026-01-01;FALSE
6792;ГОСТ 8732 73х16 ст20;0.05;2026-04-01;FALSE
6805;ГОСТ 8732 73х 5 ст45;0.02;2026-01-01;FALSE
6812;ГОСТ 8732 70х 5 ст20;0.126;2026-01-01;FALSE
6861;ГОСТ 8732 60х 4 ст10;0.024;2026-01-01;FALSE
6862;ГОСТ 8732 60х 5 ст10;0.72;2026-01-01;FALSE
6872;ГОСТ 8732 60х 3.5 ст20;0.039;2026-01-01;FALSE
6888;ГОСТ 8732 60х10 ст20;0.486;2026-01-01;FALSE
6907;ГОСТ 8732 57х 3 ст20;0.325;2026-01-01;FALSE
6908;ГОСТ 8732 57х 3.5 ст20;0.208;2026-01-01;FALSE
6909;ГОСТ 8732 57х 4 ст20;0.133;2026-01-01;FALSE
6912;ГОСТ 8732 57х 5 ст20;0.035;2026-01-01;FALSE
6934;ГОСТ 8732 51х 3 ст20;0.033;2026-01-01;FALSE
6940;ГОСТ 8732 51х 6 ст20;0.003;2026-01-01;FALSE
6944;ГОСТ 8732 48х 3 ст20;0.005;2026-01-01;FALSE
6949;ГОСТ 8732 48х11 ст20;0.02;2026-01-01;FALSE
6955;ГОСТ 8732 45х 4 ст20;0.026;2026-01-01;FALSE
6966;ГОСТ 8732 42х 3.5 ст20;0.009;2026-01-01;FALSE
6968;ГОСТ 8732 42х 4 ст20;0.002;2026-01-01;FALSE
6978;ГОСТ 8732 42.2х 3.56 ст20;0.035;2026-01-01;FALSE
6983;ГОСТ 8732 48.3х 3 ст20;0.035;2026-01-01;FALSE
7005;ГОСТ 8732 63.5х 4.5 ст10;0;2026-01-01;FALSE
7010;ГОСТ 8732 63.5х 3.5 ст20;0.125;2026-01-01;FALSE
7011;ГОСТ 8732 63.5х 4 ст20;0.068;2026-01-01;FALSE
7018;ГОСТ 8732 63.5х 8 ст20;0.01;2026-01-01;FALSE
7053;ГОСТ 8732 32х 4 ст20;0.014;2026-01-01;FALSE
7060;ГОСТ 8732 38х 3 ст20;0.02;2026-01-01;FALSE
7066;ГОСТ 8732 38х 5 ст20;0.012;2026-01-01;FALSE
7076;ГОСТ 8732 60.3х 5 ст17Г1С;0.746;2026-01-01;FALSE
7089;ГОСТ 8732 426х18 ст20;0;2026-01-01;FALSE
7096;ГОСТ 8732 426х36 ст20;0;2026-01-01;FALSE
7098;ГОСТ 8732 426х40 ст20;0.48;2026-01-01;FALSE
7101;ГОСТ 8732 426х50 ст20;0.31;2026-01-01;FALSE
7108;ГОСТ 8732 426х50 ст45;2.2;2026-01-01;FALSE
7114;Труба проф. 180х60х 6 ст09Г2С;0.14;2026-01-01;FALSE
7115;Труба проф. 180х60х 6 ст20;0.75;2026-01-01;FALSE
7117;Труба проф. 180х60х 8 ст20;0.69;2026-01-01;FALSE
7120;ГОСТ 8734 12х 2 ст45;0.37;2026-01-01;FALSE
7144;ГОСТ 8734 25х2.3 ст10;0.025;2026-01-01;FALSE
7148;ГОСТ 8734 25х2.2 ст20;0.033;2026-01-01;FALSE
7164;ГОСТ 8734 28х 3 ст20;0.025;2026-01-01;FALSE
7172;ГОСТ 8734 30х 3 ст20;0.002;2026-01-01;FALSE
7188;ГОСТ 8734 32х 1.5 ст20;0.069;2026-01-01;FALSE
7192;ГОСТ 8734 32х 3 ст20;0.025;2026-01-01;FALSE
7194;ГОСТ 8734 32х 4 ст20;0.01;2026-01-01;FALSE
7195;ГОСТ 8734 32х 4.5 ст20;0.006;2026-01-01;FALSE
7207;ГОСТ 8734 35х 5 ст20;0;2026-01-01;FALSE
7213;ГОСТ 8734 38х 4 ст20;0.039;2026-01-01;FALSE
7226;ГОСТ 8734 48.3х10 ст17Г1С;0.625;2026-01-01;FALSE
7229;ГОСТ 8734 48.3х 4 ст20;0.029;2026-01-01;FALSE
7230;ГОСТ 8734 48.3х10.15 ст20;0.508;2026-01-01;FALSE
7238;ГОСТ 8734 40х10 ст20;0.02;2026-01-01;FALSE
7244;ГОСТ 8734 45х 4 ст20;0.049;2026-01-01;FALSE
7248;ГОСТ 8734 45х10 ст20;0.013;2026-04-01;FALSE
7260;ГОСТ 8734 48х 3 ст20;0.03;2026-01-01;FALSE
7262;ГОСТ 8734 48х 5 ст20;0.053;2026-01-01;FALSE
7268;ГОСТ 8734 48х11 ст20;0.026;2026-01-01;FALSE
7285;ГОСТ 8734 51х 5 ст20;0.024;2026-01-01;FALSE
7288;ГОСТ 8734 51х10 ст20;0.115;2026-01-01;FALSE
7289;ГОСТ 8734 51х12 ст20;0.752;2026-01-01;FALSE
7290;ГОСТ 8734 51х12.5 ст20;1.45;2026-01-01;FALSE
7304;ГОСТ 8734 55х 3 ст20;0.086;2026-01-01;FALSE
7305;ГОСТ 8734 57х 2 ст10;0.004;2026-01-01;FALSE
7306;ГОСТ 8734 57х 3 ст10;0.003;2026-01-01;FALSE
7328;ГОСТ 8734 62х 4 ст20;0.738;2026-01-01;FALSE
7359;ГОСТ 8734 73х 4 ст10;0.113;2026-01-01;FALSE
7364;ГОСТ 8734 76х 8 ст20;0.024;2026-01-01;FALSE
7379;ГОСТ 8734 27х 3 ст20;0.017;2026-01-01;FALSE
7382;ГОСТ 8734 27х 4 ст20;0.009;2026-01-01;FALSE
7385;ГОСТ 8734 27х 7 ст20;0.023;2026-01-01;FALSE
7396;ГОСТ 8734 42х 3 ст20;0.009;2026-01-01;FALSE
7422;Труба электро 530х10 ст3пс;0;2026-01-01;FALSE
7433;Труба проф. 120х120х 5 ст09Г2С;5.595;2026-01-01;FALSE
7434;Труба проф. 120х120х 6 ст09Г2С;3.445;2026-01-01;FALSE
7435;Труба проф. 120х120х 8 ст09Г2С;0;2026-01-01;FALSE
