product_code;product_name;in_stock_balance
811;Труба проф. 250х250х 8 ст09Г2С 7304900000;0
815;Труба проф. 250х250х 8 ст20 7304900000;4
817;Труба проф. 250х250х12 ст20 7304900000;2
819;Труба проф. 200х120х 6 ст20 7304900000;3
821;Труба проф. 200х120х10 ст20 7304900000;2
5529;Труба проф. 300х100х 8 ст09Г2С 7304900000;3
5532;Труба проф. 300х100х10 ст20 7304900000;13
5614;ГОСТ 8732 121х 6 ст20 7304399290;0
5636;ГОСТ 8732 121х30 ст35 7304399290;0
5649;ГОСТ 8732 127х 5 ст20 7304399290;0
5672;ГОСТ 8732 127х 6 ст20Г 7304399290;0
5675;ГОСТ 8732 127х14 ст35 7304399290;0
5682;ГОСТ 8732 127х14 ст45 7304399290;2
5686;ГОСТ 8732 127х25 ст45 7304399290;0
5705;ГОСТ 8732 133х16 ст20 7304399290;0
5713;ГОСТ 8732 133х25 ст20 7304399290;0
5761;ГОСТ 8732 140х34 ст35 7304399290;0
5767;ГОСТ 8732 140х30 ст45 7304399290;0
5778;ГОСТ 8732 146х12 ст20 7304399290;0
5789;ГОСТ 8732 146х28 ст20 7304399290;1
5793;ГОСТ 8732 146х32 ст20 7304399290;5
5801;ГОСТ 8732 146х32 ст35 7304399290;1
5806;ГОСТ 8732 146х25 ст45 7304399290;2
5810;ГОСТ 8732 146х36 ст45 7304399290;0
5823;ГОСТ 8732 152х10 ст20 7304399290;0
5829;ГОСТ 8732 152х16 ст20 7304399290;0
5869;ГОСТ 8732 159х12 ст20 7304399290;0
5879;ГОСТ 8732 159х25 ст20 7304399290;0
5886;ГОСТ 8732 159х 6 ст35 7304399290;0
5895;ГОСТ 8732 159х20 ст45 7304399290;2
5936;ГОСТ 8732 168х 9 ст35 7304399290;6
5941;ГОСТ 8732 168х45 ст35 7304399290;0
5964;ГОСТ 8732 180х12 ст20 7304399390;0
5968;ГОСТ 8732 180х16 ст20 7304399390;0
5981;ГОСТ 8732 180х25 ст35 7304399390;0
5991;ГОСТ 8732 194х 6 ст20 7304193090;0
6005;ГОСТ 8732 194х14 ст20 7304399390;1
6009;ГОСТ 8732 194х18 ст20 7304399390;0
6029;ГОСТ 8732 194х42 ст45 7304399390;0
6035;ГОСТ 8732 203х12 ст20 7304399390;0
6045;ГОСТ 8732 203х28 ст20 7304399390;2
6053;ГОСТ 8732 203х50 ст20 7304399390;0
6057;ГОСТ 8732 203х28 ст35 7304399390;2
6061;ГОСТ 8732 203х25 ст45 7304399390;0
6064;ГОСТ 8732 203х40 ст45 7304399390;3
6077;ГОСТ 8732 219х 7 ст20 7304399390;0
6080;ГОСТ 8732 219х 9 ст20 7304399390;0
6089;ГОСТ 8732 219х16 ст20 7304399390;0
6100;ГОСТ 8732 219х30-45 ст20 7304399390;0
6118;ГОСТ 8732 219х22 ст35 7304399290;0
6120;ГОСТ 8732 219х25 ст35 7304399390;0
6125;ГОСТ 8732 219х36 ст45 7304399390;0
6147;ГОСТ 8732 245х16 ст20 7304193090;5
6172;ГОСТ 8732 245х13.5 ст40 Х 7304399390;15
6195;ГОСТ 8732 273х 9 ст20 7304399390;10
6199;ГОСТ 8732 273х12 ст20 7304399390;0
6205;ГОСТ 8732 273х18 ст20 7304399390;0
6213;ГОСТ 8732 273х30 ст20 7304193090;0
6233;ГОСТ 8732 273х50 ст35 7304399390;0
6238;ГОСТ 8732 273х36 ст45 7304399390;0
6245;ГОСТ 8732 273х56 ст45 7304399290;0
6256;ГОСТ 8732 299х10 ст20 7304399390;2
6262;ГОСТ 8732 299х16 ст20 7304399390;0
6267;ГОСТ 8732 299х25 ст20 7304399390;0
6275;ГОСТ 8732 299х45 ст20 7304399390;0
6298;ГОСТ 8732 325х 7 ст20 7304399390;0
6316;ГОСТ 8732 325х25 ст20 7304399390;0
6340;ГОСТ 8732 325х56 ст35 7304399390;0
6348;ГОСТ 8732 325х45 ст45 7304399390;0
6358;ГОСТ 8732 351х14 ст20 7304399390;0
6385;ГОСТ 8732 377х 9 ст20 7304399390;0
6389;ГОСТ 8732 377х12 ст20 7304399390;0
6395;ГОСТ 8732 377х18 ст20 7304399390;2
6401;ГОСТ 8732 377х25 ст20 7304399390;2
6427;ГОСТ 8732 377х45 ст45 7304399390;0
6430;ГОСТ 8732 377х70 ст45 7304399390;0
6439;ГОСТ 8732 114х 4.5 ст20 7304399290;0
6448;ГОСТ 8732 114х 8.5 ст20 7304399290;0
6471;ГОСТ 8732 114х16 ст35 7304399290;0
6477;ГОСТ 8732 114х28 ст45 7304399290;2
6502;ГОСТ 8732 108х14 ст20 7304399290;0
6529;ГОСТ 8732 102х 5 ст09Г2С 7304399290;0
6537;ГОСТ 8732 102х 4 ст20 7304399290;0
6562;ГОСТ 8732 102х24 ст20 7304399290;0
6569;ГОСТ 8732 102х24 ст35 7304399290;0
6576;ГОСТ 8732 95х 8 ст09Г2С 7304399290;0
6589;ГОСТ 8732 95х10 ст20 7304399290;0
6612;ГОСТ 8732 95х11 ст35 7304399290;3
6626;ГОСТ 8732 89х 3.5 ст10 7304399290;0
6633;ГОСТ 8732 89х 3.5 ст20 7304399290;0
6647;ГОСТ 8732 89х10 ст20 7304399290;1
6656;ГОСТ 8732 89х18 ст20 7304191090;0
6664;ГОСТ 8732 89х 6 ст35 7304399290;1
6671;ГОСТ 8732 89х 5 ст45 7304399290;0
6707;ГОСТ 8732 83х18 ст20 7304399290;0
6718;ГОСТ 8732 83х16 ст35 7304399290;0
6726;ГОСТ 8732 76х 3.5 ст10 7304399290;0
6728;ГОСТ 8732 76х 4.5 ст10 7304399290;0
6738;ГОСТ 8732 76х 5 ст20 7304399290;0
6751;ГОСТ 8732 76х14 ст20 7304399290;0
6771;ГОСТ 8732 73х 4 ст10 7304399290;0
6776;ГОСТ 8732 73х 4.5 ст20 7304399290;0
6778;ГОСТ 8732 73х 5.5 ст20 7304399290;1
6782;ГОСТ 8732 73х 9 ст20 7304399290;0
6789;ГОСТ 8732 73х14 ст20 7304399290;0
6805;ГОСТ 8732 73х 5 ст45 7304399290;0
6861;ГОСТ 8732 60х 4 ст10 7304399290;0
6865;ГОСТ 8732 60х 6.5 ст10 7304399290;0
6888;ГОСТ 8732 60х10 ст20 7304399290;0
6907;ГОСТ 8732 57х 3 ст20 7304399290;0
6909;ГОСТ 8732 57х 4 ст20 7304399290;0
6934;ГОСТ 8732 51х 3 ст20 7304399290;0
6940;ГОСТ 8732 51х 6 ст20 7304399290;0
6949;ГОСТ 8732 48х11 ст20 7304399290;0
6966;ГОСТ 8732 42х 3.5 ст20 7304399290;0
6969;ГОСТ 8732 42х 4.5 ст20 7304399290;0
6983;ГОСТ 8732 48.3х 3 ст20 7304399290;0
7010;ГОСТ 8732 63.5х 3.5 ст20 7304399290;0
7018;ГОСТ 8732 63.5х 8 ст20 7304399290;0
7050;ГОСТ 8732 32х 3 ст20 7304399290;0
7060;ГОСТ 8732 38х 3 ст20 7304399290;0
7076;ГОСТ 8732 60.3х 5 ст17Г1С 7304399290;1
7093;ГОСТ 8732 426х25 ст20 7304399890;0
7098;ГОСТ 8732 426х40 ст20 7304399890;0
7101;ГОСТ 8732 426х50 ст20 7304399890;0
7114;Труба проф. 180х60х 6 ст09Г2С 7304900000;0
7117;Труба проф. 180х60х 8 ст20 7304900000;1
7144;ГОСТ 8734 25х2.3 ст10 7304318090;0
7164;ГОСТ 8734 28х 3 ст20 7304318090;0
7177;ГОСТ 8734 30х 4 ст35 7304318090;0
7192;ГОСТ 8734 32х 3 ст20 7304318090;0
7195;ГОСТ 8734 32х 4.5 ст20 7304318090;0
7207;ГОСТ 8734 35х 5 ст20 7304318090;0
7226;ГОСТ 8734 48.3х10 ст17Г1С 7304318090;1
7230;ГОСТ 8734 48.3х10.15 ст20 7304318090;1
7244;ГОСТ 8734 45х 4 ст20 7304318090;0
7260;ГОСТ 8734 48х 3 ст20 7304318090;0
7268;ГОСТ 8734 48х11 ст20 7304318090;0
7285;ГОСТ 8734 51х 5 ст20 7304318090;0
7289;ГОСТ 8734 51х12 ст20 7304318090;1
7304;ГОСТ 8734 55х 3 ст20 7304318090;0
7306;ГОСТ 8734 57х 3 ст10 7304318090;0
7359;ГОСТ 8734 73х 4 ст10 7304318090;0
7379;ГОСТ 8734 27х 3 ст20 7304318090;0
7383;ГОСТ 8734 27х 5 ст20 7304318090;0
7396;ГОСТ 8734 42х 3 ст20 7304318090;0
7423;Труба електрозварна 530х 8 ст3сп 7305310090;0
7434;Труба проф. 120х120х 6 ст09Г2С 7304900000;5
7436;Труба проф. 120х120х10 ст09Г2С 7304900000;0
7438;Труба проф. 120х120х 6 ст20 7304900000;6
7441;Труба проф. 120х120х 8 ст20 7304900000;0
7443;Труба проф. 120х120х12 ст20 7304900000;3
7447;Труба проф. 100х100х 6 ст09Г2С 7304900000;0
7449;Труба проф. 100х100х10 ст09Г2С 7304900000;0
7451;Труба проф. 100х100х 6 ст20 7304900000;13
7455;Труба проф. 100х100х10 ст20 7304900000;12
7460;Труба проф. 110х110х 8 ст09Г2С 7304900000;16
7463;Труба проф. 140х140х 5 ст09Г2С 7304900000;0
7465;Труба проф. 140х140х 8 ст09Г2С 7304900000;14
7467;Труба проф. 140х140х12 ст09Г2С 7304900000;15
7470;Труба проф. 140х140х 8 ст20 7304900000;18
7472;Труба проф. 140х140х12 ст20 7304900000;10
7478;Труба проф. 150х150х 6 ст09Г2С 7304900000;0
7480;Труба проф. 150х150х10 ст09Г2С 7304900000;2
7482;Труба проф. 150х150х 6 ст20 7304900000;3
7484;Труба проф. 150х150х10 ст20 7304900000;0
7486;Труба проф. 160х160х 6 ст09Г2С 7304900000;2
7489;Труба проф. 160х160х10 ст09Г2С 7304900000;1
7491;Труба проф. 160х160х 6 ст20 7304900000;3
7493;Труба проф. 160х160х10 ст20 7304900000;1
7497;Труба проф. 180х180х 8 ст09Г2С 7304900000;3
7499;Труба проф. 180х180х12 ст09Г2С 7304900000;11
7501;Труба проф. 180х180х 7 ст20 7304900000;4
7503;Труба проф. 180х180х10 ст20 7304900000;2
7505;Труба проф. 180х180х10 ст35 7304900000;8
7508;Труба проф. 200х200х 7 ст20 7304900000;4
7510;Труба проф. 200х200х10 ст20 7304900000;4
7512;Труба проф. 260х260х 8 ст20 7304900000;3
7515;Труба проф. 90х90х 5 ст20 7304900000;3
7517;Труба проф. 90х90х 7 ст20 7304900000;2
7519;Труба проф. 90х90х10 ст20 7304900000;5
7521;Труба проф. 80х80х 5 ст09Г2С 7304900000;2
7523;Труба проф. 80х80х 8 ст09Г2С 7304900000;2
7525;Труба проф. 80х80х 4 ст20 7304900000;2
7527;Труба проф. 80х80х 5 ст20 7304900000;0
7530;Труба проф. 80х80х 8 ст20 7304900000;15
7532;Труба проф. 80х80х 6 ст35 7304900000;15
7534;Труба проф. 70х70х 5 ст09Г2С 7304900000;4
7537;Труба проф. 70х70х 5 ст20 7304900000;1
7540;Труба проф. 70х70х 8 ст20 7304900000;2
7542;Труба проф. 60х60х 5 ст09Г2С 7304900000;2
7544;Труба проф. 60х60х 4 ст20 7304900000;6
7546;Труба проф. 60х60х 6 ст20 7304900000;10
7550;Труба проф. 50х50х 4 ст09Г2С 7304900000;0
