product_code;product_name;in_stock_balance
811;Труба проф. 250х250х 8 ст09Г2С 7304900000;0
815;Труба проф. 250х250х 8 ст20 7304900000;9
817;Труба проф. 250х250х12 ст20 7304900000;3
819;Труба проф. 200х120х 6 ст20 7304900000;1
821;Труба проф. 200х120х10 ст20 7304900000;6
5529;Труба проф. 300х100х 8 ст09Г2С 7304900000;3
5532;Труба проф. 300х100х10 ст20 7304900000;13
5623;ГОСТ 8732 121х16 ст20 7304399290;0
5640;ГОСТ 8732 121х30 ст45 7304399290;0
5661;ГОСТ 8732 127х16 ст20 7304399290;0
5674;ГОСТ 8732 127х12 ст35 7304399290;0
5682;ГОСТ 8732 127х14 ст45 7304399290;0
5712;ГОСТ 8732 133х25 ст20 7304191090;0
5737;ГОСТ 8732 140х10 ст20 7304399290;0
5762;ГОСТ 8732 140х 6 ст40 Х 7304399290;0
5778;ГОСТ 8732 146х12 ст20 7304399290;0
5789;ГОСТ 8732 146х28 ст20 7304399290;1
5793;ГОСТ 8732 146х32 ст20 7304399290;5
5801;ГОСТ 8732 146х32 ст35 7304399290;1
5806;ГОСТ 8732 146х25 ст45 7304399290;1
5821;ГОСТ 8732 152х 8 ст20 7304399290;0
5879;ГОСТ 8732 159х25 ст20 7304399290;0
5887;ГОСТ 8732 159х12 ст35 7304399290;4
5908;ГОСТ 8732 168х 6 ст20 7304399290;0
5939;ГОСТ 8732 168х28 ст35 7304399290;2
5968;ГОСТ 8732 180х16 ст20 7304399390;0
5981;ГОСТ 8732 180х25 ст35 7304399390;0
5991;ГОСТ 8732 194х 6 ст20 7304193090;0
6005;ГОСТ 8732 194х14 ст20 7304399390;0
6037;ГОСТ 8732 203х14 ст20 7304399390;0
6053;ГОСТ 8732 203х50 ст20 7304399390;0
6064;ГОСТ 8732 203х40 ст45 7304399390;3
6069;ГОСТ 8732 203х60 ст45 7304193090;1
6077;ГОСТ 8732 219х 7 ст20 7304399390;0
6091;ГОСТ 8732 219х20 ст20 7304193090;6
6119;ГОСТ 8732 219х22 ст35 7304399390;12
6147;ГОСТ 8732 245х16 ст20 7304193090;2
6172;ГОСТ 8732 245х13.5 ст40 Х 7304399390;15
6197;ГОСТ 8732 273х10 ст20 7304399390;1
6205;ГОСТ 8732 273х18 ст20 7304399390;0
6231;ГОСТ 8732 273х30 ст35 7304399390;1
6238;ГОСТ 8732 273х36 ст45 7304399390;0
6243;ГОСТ 8732 273х50 ст45 7304193090;1
6252;ГОСТ 8732 299х36 ст09Г2С 7304399390;0
6260;ГОСТ 8732 299х14 ст20 7304399390;1
6263;ГОСТ 8732 299х18 ст20 7304399390;3
6273;ГОСТ 8732 299х40 ст20 7304399390;0
6303;ГОСТ 8732 325х10 ст20 7304399390;2
6318;ГОСТ 8732 325х30 ст20 7304399390;0
6345;ГОСТ 8732 325х36 ст45 7304399390;1
6357;ГОСТ 8732 351х12 ст20 7304399390;0
6380;ГОСТ 8732 351х30 ст45 7304399390;2
6389;ГОСТ 8732 377х12 ст20 7304399390;0
6395;ГОСТ 8732 377х18 ст20 7304399390;2
6401;ГОСТ 8732 377х25 ст20 7304399390;1
6432;ГОСТ 8732 114х 5 ст10 7304399290;0
6451;ГОСТ 8732 114х10 ст20 7304399290;0
6477;ГОСТ 8732 114х28 ст45 7304399290;2
6560;ГОСТ 8732 102х22 ст20 7304399290;0
6569;ГОСТ 8732 102х24 ст35 7304399290;0
6587;ГОСТ 8732 95х 8 ст20 7304399290;0
6612;ГОСТ 8732 95х11 ст35 7304399290;3
6630;ГОСТ 8732 89х 6.5 ст17Г1С 7304399290;0
6641;ГОСТ 8732 89х 7 ст20 7304399290;0
6648;ГОСТ 8732 89х11 ст20 7304399290;0
6656;ГОСТ 8732 89х18 ст20 7304191090;0
6669;ГОСТ 8732 89х18 ст35 7304399290;0
6718;ГОСТ 8732 83х16 ст35 7304399290;0
6727;ГОСТ 8732 76х 4 ст10 7304399290;0
6735;ГОСТ 8732 76х 4 ст20 7304399290;0
6746;ГОСТ 8732 76х10 ст20 7304399290;0
6751;ГОСТ 8732 76х14 ст20 7304399290;0
6771;ГОСТ 8732 73х 4 ст10 7304399290;0
6776;ГОСТ 8732 73х 4.5 ст20 7304399290;0
6778;ГОСТ 8732 73х 5.5 ст20 7304399290;1
6790;ГОСТ 8732 73х15 ст20 7304399290;0
6805;ГОСТ 8732 73х 5 ст45 7304399290;0
6861;ГОСТ 8732 60х 4 ст10 7304399290;0
6872;ГОСТ 8732 60х 3.5 ст20 7304399290;0
6907;ГОСТ 8732 57х 3 ст20 7304399290;0
6909;ГОСТ 8732 57х 4 ст20 7304399290;0
6934;ГОСТ 8732 51х 3 ст20 7304399290;0
6944;ГОСТ 8732 48х 3 ст20 7304399290;0
6955;ГОСТ 8732 45х 4 ст20 7304399290;0
6968;ГОСТ 8732 42х 4 ст20 7304399290;0
6983;ГОСТ 8732 48.3х 3 ст20 7304399290;0
7010;ГОСТ 8732 63.5х 3.5 ст20 7304399290;0
7018;ГОСТ 8732 63.5х 8 ст20 7304399290;0
7060;ГОСТ 8732 38х 3 ст20 7304399290;0
7076;ГОСТ 8732 60.3х 5 ст17Г1С 7304399290;0
7096;ГОСТ 8732 426х36 ст20 7304399890;0
7101;ГОСТ 8732 426х50 ст20 7304399890;0
7113;ГОСТ 8732 166х15 ст45 7304399290;0
7115;Труба проф. 180х60х 6 ст20 7304900000;4
7120;ГОСТ 8734 12х 2 ст45 7304318090;0
7148;ГОСТ 8734 25х2.2 ст20 7304318090;0
7172;ГОСТ 8734 30х 3 ст20 7304318090;0
7192;ГОСТ 8734 32х 3 ст20 7304318090;0
7195;ГОСТ 8734 32х 4.5 ст20 7304318090;0
7213;ГОСТ 8734 38х 4 ст20 7304318090;0
7229;ГОСТ 8734 48.3х 4 ст20 7304318090;0
7238;ГОСТ 8734 40х10 ст20 7304318090;0
7248;ГОСТ 8734 45х10 ст20 7304318090;0
7262;ГОСТ 8734 48х 5 ст20 7304318090;0
7285;ГОСТ 8734 51х 5 ст20 7304318090;0
